Firm Name,Website,Address,City,State,Personal Injury Reference Link 1,Personal Injury Reference Link 2,Company LinkedIn Profile,Person LinkedIn URL 1,Person LinkedIn URL 2
"NachtLaw, P.C.",nachtlaw.com,"501 Avis Drive, Suite 3",Ann Arbor,MI,https://www.nachtlaw.com/,https://autismallianceofmichigan.org/provider/nachtlaw-nacht-roumel-p-c/,https://www.linkedin.com/company/nachtlaw,,
"Babut Law Offices, PLLC",babutlawssd.com,700 Towner St,Ypsilanti,MI,,,,https://www.linkedin.com/in/meganbabut,
Varnum LLP,varnumlaw.com,4501 Tamiami Trail North,Naples,FL,https://www.bestlawfirms.com/firms/varnum-llp/4299/US,https://www.varnumlaw.com/about-our-firm/,https://www.linkedin.com/company/varnum-llp/,,
Law Office Of Andrew Park,immigrationpark.com,"3700 Wilshire Blvd, Suite 260",Los Angeles,CA,https://andrewparklaw.com/contact,,,https://www.linkedin.com/in/andrew-r-park-9bb10460,https://www.linkedin.com/in/andrew-park-2ba00314
"Nichols, Sacks, Slank, Sendelbach, Buiteweg & Solomon, P.C.",nsssb.com,524 S. Main St. Suite 210,Ann Arbor,MI,,,https://www.linkedin.com/company/nichols-sacks-slank-sendelbach-&-buiteweg-pc,,
"William M. Crawforth, P.C.",misocialsecuritylawyer.com,"905 W Eisenhower Cir, Ste 110",Ann Arbor,MI,https://lawyers.justia.com/lawyer/william-m-crawforth-pc-1488792,https://lawyers.uslegal.com/attorney/william-m-crawforth-pc-social-security-attorney-33852024/,,https://www.linkedin.com/in/william-crawforth-3a22aa4b,https://www.linkedin.com/in/sampoornaravikanth
"Law Offices of Conlin, McKenney & Philbrick, P.C.",cmplaw.com,"350 South Main Street, Suite 400",Ann Arbor,MI,https://www.cmplaw.com/attorneys/,https://www.cmplaw.com/attorney-titles/associate/,https://www.linkedin.com/company/cmplaw,,
Weiner & Randall Law Group PLC,wrplc.com,543 N Main St,Ann Arbor,MI,https://www.wrplc.com,https://www.wrplc.com/about/testimonials,https://www.linkedin.com/in/ron-randall-8ab0ba1b5,,
"Daniel R Shemke, PC",dshemke.com,301 N. Main St. (2nd Floor),Ann Arbor,MI,https://www.avvo.com/attorneys/48104-mi-daniel-shemke-760875.html,https://www.icle.org/modules/directories/contributors/bio.aspx?pnumber=p42900,,https://www.linkedin.com/in/dan-shemke-7469646,
"Arbor Estate Planning, Law Offices of Christopher Juillet, PLC",arborestateplanning.com,"2860 Carpenter Road, Suite 100B",Ann Arbor,MI,,,https://www.linkedin.com/in/christopherjuillet,,
"CTaylor Legal, P.C.",ctaylorlegal.com,"455 E. Eisenhower Pkwy., Suite 355",Ann Arbor,MI,,,,https://www.linkedin.com/in/jbencooper,https://www.linkedin.com/in/richard-c-taylor-51196634
"Pear, Sperling, Eggan & Daniels, P.C.",psedlaw.com,"24 Frank Lloyd Wright Drive, Suite D2000",Ann Arbor,Michigan,https://www.psedlaw.com/attorneys/annarbor/thomas-daniels,https://www.psedlaw.com/learn/more/wrongful-death-claims-probate-litigation-lawyers-ann-arbor,https://www.linkedin.com/company/pear-sperling-eggan-daniels-p-c,,
Mitzel Law Group PLC,mitzellaw.com,1590 Eisenhower Pl,Ann Arbor,Michigan,,,https://www.linkedin.com/company/mitzel-law-group-plc,,
Ferguson Widmayer & Clark PC,fw-pc.com,538 North Division Street,Ann Arbor,MI,,,,https://www.linkedin.com/in/miriam-saffo-0928aa103,https://www.linkedin.com/in/peter-clark-8599009a
"Elmen Legal, PLLC",criminallawyerofannarbor.com,"3300 Washtenaw Ave, Suite 277",Ann Arbor,MI,,,,https://www.linkedin.com/in/robert-elmen-02098811a,https://www.linkedin.com/in/miapoppe
JW Law Partners PC,jwlawpartners.com,4158 Washtenaw Ave.,Ann Arbor,MI,,,https://www.linkedin.com/in/jane-wang-47a6062b2,,
Ellis Porter PLC,ellisporter.com,"2701 Troy Center Drive, Suite 410",Troy,MI,,,https://www.linkedin.com/company/ellis-porter-plc,,
ZVMLaw,zvmlaw.com,"777 E Eisenhower Parkway, Suite 910",Ann Arbor,MI,,,https://www.linkedin.com/company/zvmlaw,,
Garan Lucow Miller P.C.,garanlucow.com,1155 Brewery Park Boulevard Suite 200,Detroit,MI,https://www.garanlucow.com/location/detroit-mi/,https://www.garanlucow.com/location/port-huron-mi/,https://www.linkedin.com/company/garan-lucow-miller-p.c.,,
"Crippen, Urquhart & Weber, LLP",a2attorneys.com,"203 S Zeeb Rd, Ste 205",Ann Arbor,MI,,,https://www.linkedin.com/in/lynelle-morgan-8a9725148,,
Drukis Law,drukislaw.com,3150 Packard Road,Ypsilanti,MI,https://www.drukislaw.com/personal-injury-attorney,https://www.drukislaw.com/reviews,https://www.linkedin.com/in/edward-voldemars-drukis-a2783a47,,
"Debolski, Debolski, & O'Connor",topmichiganlawyers.com,3003 Washtenaw Ave E,Ann Arbor,MI,https://www.attorneyyellowpages.com/personal-injury/debolski-debolski-oconnor/,https://topmichiganlawyers.com/,https://www.linkedin.com/in/brendon-debolski-96088173,,
Michigan Injury Attorneys,michigan-injury-lawyers.com,"2100 S. Main St., Ste A",Ann Arbor,MI,https://michigan-injury-lawyers.com/,https://michigan-injury-lawyers.com/contact-us/,,https://www.linkedin.com/in/stevengursten,https://www.linkedin.com/in/thomasjamesjdmba
"Blaske & Blaske, PLC",blaske.com,500 S Main St,Ann Arbor,MI,https://blaske.com/who-we-are/,https://www.bestlawfirms.com/firms/blaske-blaske-plc/4910/US,,https://www.linkedin.com/in/johnturck,https://www.linkedin.com/in/marco-lewis-4125b7119
Marrs & Terry PLLC,marrsterry.net,6553 Jackson Rd,Ann Arbor,MI,https://www.marrsterry.net/,https://www.attorneyatlaw.com/firms/marrs-terry-pllc,https://www.linkedin.com/in/michelle-marrs-052a7112,,
Kitchen Sharkey Family Law,kitchensharkey.com,3011 Miller Road,Ann Arbor,Michigan,,,,https://www.linkedin.com/in/elizabethkitchen,https://www.linkedin.com/in/katherine-sharkey-90495928
"Musser Love, P.C.",musserlove.com,4844 Jackson Rd Ste 204,Ann Arbor,MI,,,https://www.linkedin.com/in/alison-love-esq-92813051,,
Law Office of John Freeman,formerfedlawyer.com,3150 Livernois Rd Suite 270,Troy,Michigan,,,https://www.linkedin.com/company/law-office-of-john-freeman,,
Alfreda Menlove Attorney at Law,menlovelawoffice.com,"2500 Packard St., Suite 211B",Ann Arbor,MI,,,,,
"Francie L. Novar, PLLC",fnovarlaw.com,603 W Huron St Ste 202,Ann Arbor,MI,,,,https://www.linkedin.com/in/francie-novar-253a8131,
Joseph H. Spiegel PLLC,josephspiegel.com,825 Victors Way Suite 300,Ann Arbor,MI,https://avvo.com/attorneys/48108-mi-joseph-spiegel-761541.html,https://lawyers.justia.com/lawyer/joseph-spiegel-732418,,https://www.linkedin.com/in/benjamin-d-joffe-40b4b422,https://www.linkedin.com/in/dan-h-berger-2584a758
"Fessler Law, P.C.",fesslerlawpc.com,"220 E. Huron St., Suite 415",Ann Arbor,MI,,,,https://www.linkedin.com/in/michael-fessler-4560b616,https://www.linkedin.com/in/dustin-fessler-5b843925
"Iglesia Martell Law Firm, PLLC",iglesiamartell.com,"2723 S State Street, Suite 150",Ann Arbor,MI,https://iglesiamartell.com/,https://pridesource.com/marketplace/iglesia-martell-law-firm-pllc,,https://www.linkedin.com/in/angie-martell-85586873,https://www.linkedin.com/in/chrismcgrath11
Stimpson & Associates P.C.,stimpsonlaw.com,108 W Chicago Blvd.,Tecumseh,MI,,,,https://www.linkedin.com/in/david-stimpson-56a18a57,https://www.linkedin.com/in/a2jkelly
Meyers Law PLLC,jeffmeyerslaw.com,"3200 Greenfield Road, Suite 260",Dearborn,MI,https://jeffmeyerslaw.com/personal-injury/,https://jeffmeyerslaw.com/jeffrey-meyers/,,https://www.linkedin.com/in/maxmeyers,https://www.linkedin.com/in/pete-meyers-48370a7
Soble Rowe Krichbaum LLP,srkllp.com,302 E. Liberty,Ann Arbor,MI,https://www.srkllp.com/local-counsel,https://www.bestlawfirms.com/firms/soble-rowe-krichbaum-llp/38932/US,https://www.linkedin.com/in/matthew-krichbaum-59991ba,,
Legacy Law Center,elderlawannarbor.com,2950 S. State Street Suite 340,Ann Arbor,MI,,,,https://www.linkedin.com/in/chris-kane-2bbb8827,https://www.linkedin.com/in/laura-sossamon-15333747
Aldrich Legal Services,aldrichlegalservices.com,276 S Union St Ste 1,Plymouth,MI,https://www.aldrichlegalservices.com,https://business.plymouthmich.org/directory/Details/aldrich-legal-services-pllc-2164351,https://www.linkedin.com/company/aldrich-legal-services,,
Blanchard & Walker PLLC,bwjustice.com,"221 North Main St., Suite 300",Ann Arbor,MI,,,,https://www.linkedin.com/in/michiganemploymentlawyer,https://www.linkedin.com/in/kelly-mcclintock-esq-29911b2a
"Dever, Eby, & Issa, PLLC",deverebyissa.com,"301 N. Main Street, 2nd Floor",Ann Arbor,MI,https://deverebyissa.com/practice-areas/,https://www.bcgsearch.com/lawfirmprofile/pa-40-loc-2625251/michigan/ann-arbor/insurance,,https://www.linkedin.com/in/thomas-bourque-08b06430,https://www.linkedin.com/in/ari-goldstein-38104133
"Magill and Rumsey, P.C.",magillrumsey.com,455 E Eisenhower Pkwy Ste 355,Ann Arbor,Michigan,https://www.magillrumsey.com,https://www.magillrumsey.com/attorneys/,,https://www.linkedin.com/in/stewart-banner,https://www.linkedin.com/in/veronique-sweet-6abb2578
Berry Moorman P.C.,berrymoorman.com,"255 E. Brown St., Suite 320",Birmingham,Michigan,https://berrymoorman.com/attorneys-3/,https://berrymoorman.com/,https://www.linkedin.com/company/berry-moorman-p.c.,,
Blanchard & Walker PLLC,bwlawonline.com,"221 N Main St, Ste 300",Ann Arbor,MI,https://bwlawonline.com/employment-discrimination/,https://bwlawonline.com/david-blanchard/,https://www.linkedin.com/in/angela-walker-michigan-employment-lawyer,,
Schmerberg Law,schmerberg.com,209 East Michigan Avenue,Saline,MI,https://lawyers.justia.com/lawyer/luke-aaron-schmerberg-1648356,https://lawyers.justia.com/lawyer/fred-r-schmerberg-1641543,https://www.linkedin.com/in/luke-schmerberg-3576961ab,,
Law Office of John B. Owdziej,washtenawcountydivorce.com,"101 N Main St, Suite 470",Ann Arbor,MI,,,,,
Fink & Fink PLLC,finkandfink.com,3025 Miller Rd,Ann Arbor,MI,,,,https://www.linkedin.com/in/james-a-fink-06540110,https://www.linkedin.com/in/laurelstuartfink
Thomas More Law Center,thomasmore.org,"24 Frank Lloyd Wright Drive, Suite J3200",Ann Arbor,MI,https://www.thomasmore.org/news/sharia-the-usa-christians-jailed-preaching-muslims-dearborn-mi-officials-sued/,https://www.thomasmore.org/today-is-national-flag-day-display-it-proudly/,,https://www.linkedin.com/in/charles-saunders-56888437,https://www.linkedin.com/in/nicholasjfnelson
"Collis, Griffor & Hendra",collisandgriffor.com,1851 Washtenaw Avenue,Ypsilanti,MI,,,,https://www.linkedin.com/in/wolverinelaw,https://www.linkedin.com/in/beverlymgriffor
Roberts & Freatman,roberts-freatman.com,125 N. Huron Street,Ypsilanti,MI,,,https://www.linkedin.com/pub/dir/+/Freatman,,
"Debra S. Keehn, PLLC",debrakeehn.com,"1785 W. Stadium, Suite 106",Ann Arbor,MI,,,,https://ca.linkedin.com/in/debra-keehn-a4828752,
"Stacey Law Practice, PLLC",staceylawpractice.com,"455 E. Eisenhower Parkway, Suite 300",Ann Arbor,MI,,,https://www.linkedin.com/in/hooperhathawaycom,,
"McCoy & Associates, PLLC",mccoyandassociates.com,2381 E. Stadium Blvd,Ann Arbor,MI,https://www.mapquest.com/us/michigan/robert-mccoy-associates-372609670,https://nbltop100.org/members/robyn-mccoy/,https://www.linkedin.com/in/robyn-mccoy-50a5a012,,
The Fierberg National Law Group,tfnlgroup.com,"201 E. 17th Street, Suite A",Traverse City,MI,https://tfnlgroup.com,https://www.mapquest.com/us/michigan/tfnl-group-377157775,https://www.linkedin.com/company/tfnlgroup,,
Parsons Law Firm PLC,parsonslawfirm.net,"520 South Union Street, PO Box 1710",Traverse City,Michigan,https://www.parsonslawfirm.net/,https://www.parsonslawfirm.net/contact-us/,,https://www.linkedin.com/in/phil-parsons-45046324,https://www.linkedin.com/in/rew-goodenow-2417502
Three Sixty Law,threesixtylaw.com,502 Railroad Avenue,Traverse City,MI,https://threesixtylaw.com/practice-areas.php,https://threesixtylaw.com/attorney-profiles.php,https://www.linkedin.com/in/shawn-worden-65300b5,,
Razavi Law Group,razavi-law.com,"2090 North Tustin, Suite 250",Santa Ana,CA,https://www.razavilawgroup.com/,https://www.razavilawgroup.com/personal-injury-attorneys-ca/santa-ana/,https://www.linkedin.com/in/ali-razavi-esq-77ab418b,,
Williams & Associates,amberglawnorth.com,Unknown,Traverse City,MI,,,,https://gd.linkedin.com/in/francis-williams-03463150,https://www.linkedin.com/in/medicallaw
"Elhart & Kreinbrink, PLLC",eklawtc.com,329 S. Union St.,Traverse City,Michigan,https://www.eklawtc.com/,https://www.eklawtc.com/case-types,,,
The Law Office of Mattias Johnson,mattiaslawoffice.com,"310 W. Front Street, Suite 401",Traverse City,MI,,,,https://ch.linkedin.com/in/mattias-johnson-625876,https://www.linkedin.com/in/mathias-rabinovitch-b8134992
"Nolan Law Offices, PLLC",nolanlawoffices.com,"1 E Apple Ave Ste D, Muskegon, MI 49442",Muskegon,MI,https://elitelitigators.com/law-firm-reviews/nolan-law-offices-pllc/,https://nolanlawoffices.com/testimonials/for-more-than-25-years-we-have-trusted-terry/,https://www.linkedin.com/in/fiona-bishop-23225611a,,
West & West Law,westandwestlaw.com,1017 Sanford St.,Muskegon,MI,https://www.westandwestlaw.com/,https://www.mapquest.com/us/michigan/jeffrey-p-west-associates-288687341,,https://www.linkedin.com/in/tony-west-4843637b,https://www.linkedin.com/in/brooks-t-west-0b14a2128
"Vincent E. Carlson & Associates, PLC",vincentcarlsonlaw.com,2320 Lake Ave.,North Muskegon,MI,https://www.vincentcarlsonlaw.com/family-law/custody,https://www.vincentcarlsonlaw.com/contact-us,,https://www.linkedin.com/in/jeffery-greve-42727ba3,https://www.linkedin.com/in/crystal-carlisle-50a82462
"Brianna T Scott & Associates, PLLC",briannascott.com,75 West Apple Avenue,Muskegon,MI,https://lawyers.justia.com/lawyer/brianna-t-scott-720539,https://www.bcgsearch.com/bestlawfirms/Krpyi/Brianna-T-Scott-and-Associates-P-L-L-C/rankings,,https://www.linkedin.com/in/brianna-scott-104a00b9,https://www.linkedin.com/in/toriorent
Ed Anderson Attorney At Law,edandersonlaw.com,1 E Apple Ave. Suite B,Muskegon,MI,https://www.edandersonlaw.com/personal-injury,https://www.edandersonlaw.com,,https://www.linkedin.com/in/ed-anderson-87b95a73,https://www.linkedin.com/in/edanderson
"Roy J. Portenga, Attorney at Law",portengalaw.com,711 Center St,Muskegon,MI,https://portengalaw.com/,https://www.avvo.com/attorneys/49445-mi-roy-portenga-756855.html,,,
"West Michigan Law, PC",westmichiganlaw.com,900 3rd St STE 203,Muskegon,MI,,,https://www.linkedin.com/company/west-michigan-law,,
Parmenter Law,parmenterlaw.com,601 Terrace Street,Muskegon,MI,https://www.bbb.org/us/mi/muskegon/profile/lawyers/parmenter-law-0372-11002206,https://www.bcgsearch.com/bestlawfirms/KrIvr/Parmenter-Law/rankings,,https://www.linkedin.com/in/sfparmenter,https://www.linkedin.com/in/nicole-osborn-582b96103
"Matthew T. Miller & Associates, LLC",matthewtmillerlaw.com,75 W Walton Ave,Muskegon,MI,,,,https://www.linkedin.com/in/matthew-cramer-722989105,https://www.linkedin.com/in/matthewmillerlaw
"Bott & Spencer, PLC",bottspencer.com,"1181 Ransom St, Muskegon, MI 49442",Muskegon,MI,http://bottspencer.com/personalinjury.html,http://bottspencer.com,,https://www.linkedin.com/in/jennifer-goetz-4843b54b,https://www.linkedin.com/in/jamiehall86
Shutts & Bowen LLP,bowen-law.com,"200 South Biscayne Boulevard, Suite 4100",Miami,FL,,,,https://www.linkedin.com/in/natalie-card-6b5b99a2,https://www.linkedin.com/in/matthew-chait-36660a6
"Law Office of David E. Waterstradt, PLLC",davidwaterstradt.com,950 W Norton Ave Ste 405,Muskegon,MI,,,https://www.linkedin.com/in/david-waterstradt-97a18110,,
Garrett Law Offices,legalcures.com,"800 S Garfield Ave, Ste C",Traverse City,MI,https://www.ddc-law.com,https://www.mapquest.com/us/michigan/garrett-law-offices-405980562,,https://www.linkedin.com/in/courtney-garrett-esq-540a91192,https://www.linkedin.com/in/garrett-davis-a98a40b4
Michigan Workers Comp Lawyers,workerscomplawyerhelp.com,"30101 Northwestern Hwy, Suite 250",Farmington Hills,MI,https://www.workerscomplawyerhelp.com/,https://profiles.superlawyers.com/michigan/farmington-hills/lawfirm/michigan-workers-comp-lawyers/4b5fcfc0-4222-4c0f-a8a3-f6dea34d51e4.html,https://www.linkedin.com/posts/michigan-workers-comp-lawyers-alex-berman-pc_facilitation-hearing-process-explained-activity-7299805346452176898-iWW8,,
Jeffrey D. Vanderstelt PLC,jdvlaw.wixsite.com,333 W Western Ave Ste 6,Muskegon,MI,https://www.yelp.com/biz/vanderstelt-jeffrey-d-muskegon-2,https://lawyers.justia.com/lawyer/jeffrey-d-vanderstelt-722790,https://www.linkedin.com/in/jeffrey-d-vanderstelt,,
Gielow Groom Terpstra & McEvoy,ggtmlaw.com,281 Seminole Rd Fl 2,Norton Shores,Michigan,,,https://www.linkedin.com/company/gielow-groom-terpstra-&-mcevoy,,
Houghtaling Wasiura Thomas and Associates,chrishoughtaling.com,1065 Peck St,Muskegon,MI,https://www.floridabar.org/about/section/profile/?num=84352,https://sbm.reliaguide.com/lawyer/49441-MI-Chris-Houghtaling-44996,https://www.linkedin.com/in/chrishoughtaling,,
"Andrews Scheuerle + Huss, PLLC",muskegonattorneys.com,380 W Western Ave Ste 302,Muskegon,MI,https://www.muskegonattorneys.com/,https://www.bbb.org/us/mi/muskegon/profile/lawyers/andrews-scheuerle-and-huss-pllc-0372-38270662,https://www.linkedin.com/in/james-scheuerle-1430907,,
Lumbertown Law,lumbertownlaw.com,111 W. Western Avenue,Muskegon,MI,,,https://www.linkedin.com/in/kevinmhuss,,
Al Swanson Law Office,muskegon-lawyers.com,"Muskegon, MI",Muskegon,MI,https://www.muskegon-lawyers.com/,https://lawyers.justia.com/lawyer/al-e-swanson-jr-714694,,https://www.linkedin.com/in/alvin-swanson-144b397,https://www.linkedin.com/in/sue-swanson-b59a1a39
Burt Blee Dixon Sutton & Bloom,burtblee.com,200 E. Main St. Suite 1000,Fort Wayne,Indiana,https://www.burtblee.com/,https://www.burtblee.com/attorneys,https://www.linkedin.com/company/burt-blee-dixon-sutton-bloom-llp,,
Scott & Aplin LLC,scottaplinllc.com,1018 East Washington Blvd,Fort Wayne,Indiana,https://www.scottaplinllc.com/attorney/mccoy-brendan/,https://www.scottaplinllc.com/attorney/aplin-robert-douglas/,,https://www.linkedin.com/in/aaron-scott18,https://www.linkedin.com/in/robertaplin
"Kiplinger Law Firm, P.C.",kiplingerlaw.com,"229 W. Berry Street, Suite 200",Fort Wayne,IN,,,https://www.linkedin.com/in/roy-kiplinger-41693012,,
Indiana Legal Services Inc.,indianalegalservices.org,"1200 Madison Ave., Suite 300",Indianapolis,IN,https://indianalegalhelp.org/organization/indiana-legal-services-indianapolis/,https://www.indianalegalservices.org/about/,,https://www.linkedin.com/in/jaredhaller,https://www.linkedin.com/in/jonlaramore
"Longsworth Law, LLC",longsworthlaw.com,"7030 Pointe Inverness Way, Suite 330",Fort Wayne,Indiana,https://usattorneys.com/law-firm/longsworth-law-llc/,,,https://www.linkedin.com/in/daryllongworth,https://www.linkedin.com/in/jeffreylongsworth
Law Office of John G. Clifton,johngcliftonlaw.com,"116 E. Berry Street, The Lincoln Tower, Suite 610",Fort Wayne,IN,https://www.johngcliftonlaw.com,https://www.johngcliftonlaw.com/criminal-and-traffic,,https://www.linkedin.com/in/cliftonboswell,https://www.linkedin.com/in/john-bergdoll-38674110
Rothberg Law,srothberglaw.com,"229 West Berry Street, Suite 300",Fort Wayne,Indiana,https://www.srothberglaw.com/content/divorce-domestic-partnerships,https://www.expertise.com/legal/divorce-lawyers/indiana/fort-wayne,https://www.linkedin.com/company/rothberg-law-firm,,
Rothberg Law Firm,rlwlawfirm.com,"505 E Washington Blvd, P.O. Box 11647",Fort Wayne,Indiana,https://www.avvo.com/attorneys/46802-in-dennis-dykhuizen-4395759.html,https://www.bbb.org/us/in/fort-wayne/profile/legal-services/rothberg-law-firm-0352-2012162,https://www.linkedin.com/in/christine-stach-75a502a,,
"Stoll, Nussbaum & Polakov",stoll.law,"11601 Wilshire Boulevard, Suite 200",Los Angeles,CA,https://stolllaw.com/,https://www.lawcrossing.com/lawfirmprofile/K7shw/Stoll-Nussbaum-and-Polakov/,,https://www.linkedin.com/in/julie-farrugia-esq-94735937,https://www.linkedin.com/in/robert-stoll-b4689b62
"Blachly, Tabor, Bozik & Hartman, LLC",btbhlaw.com,"56 Washington Street, Suite 401",Valparaiso,Indiana,https://www.btbhlaw.com/attorneys/partners/colby-anton-barkes/,https://www.btbhlaw.com/attorneys/jeffrey-s-wrage/,,https://www.linkedin.com/in/colby-barkes-48a547205,https://www.linkedin.com/in/randall-zromkoski-3983b970
"Urberg Law Office, LLC",urberglaw.com,"803 S. Calhoun Street, Suite 600, Fort Wayne, IN 46802",Fort Wayne,Indiana,,,https://www.linkedin.com/in/konrad-urberg-8139b33a,,
Barnes & Thornburg LLP,btlaw.com,11 South Meridian Street,Indianapolis,IN,https://btlaw.com/en/people,https://btlaw.com/insights/publications/2015/main-justice-hide-no-harm-act-of-2015-targets-employers-directors-and-officers,https://www.linkedin.com/company/barnes-&-thornburg-llp/,,
Forrest Legal LLC,forrestlegalfirm.com,701 S Clinton St STE 218,Fort Wayne,IN,https://attorneyslisted.com/attorney/forrest-legal-llc/,https://www.lawcrossing.com/lawfirmprofile/KrgTI/Forrest-Legal-LLC/,https://www.linkedin.com/in/christopher-forrest-a90a7117,,
"The Law Office of Joshua D. Byanski, LLC",byanskilaw.com,116 E Berry St Suite 1700,Fort Wayne,IN,https://lawyers.justia.com/lawyer/joshua-d-byanski-1530408,https://attorneyslisted.com/attorney/the-law-office-of-joshua-d-byanski-llc/,https://www.linkedin.com/in/joshua-byanski-03b266106,,
Summit City Law Group,summitcitylawgroup.com,111 W Berry St #211,Fort Wayne,IN,,,,https://www.linkedin.com/in/peter-altman-4b657137,https://www.linkedin.com/in/kristin-anger-27120ba
"Shilts & Setlak, LLC",shiltslaw.com,"13011 Dawsons Creek, Suite C",Fort Wayne,IN,,,,https://www.linkedin.com/in/perry-shilts-ba61953a,https://www.linkedin.com/in/andrea-cross-3805024
"Seyfried Vicario, PC",seyfriedvicario.com,4602 Parnell Ave,Fort Wayne,IN,https://threebestrated.com/immigration-lawyers-in-fort-wayne-in,http://www.seyfriedvicario.com/team-brianseyfried.php,https://www.linkedin.com/in/nestor-vicario,,
Cordell & Cordell,cordellcordell.com,5337 Millenia Lakes Blvd. Suite 200,Orlando,FL,https://crimcourts.com,,,https://www.linkedin.com/in/joseph-cordell-35841611,https://www.linkedin.com/in/trippatkins
Fumarolo Law Office,fumarololawoffice.com,116 E Berry St Ste 500,Fort Wayne,IN,,,,https://www.linkedin.com/in/nicole-fumarola-8a08731b6,https://www.linkedin.com/in/christopherbloodworth
Scully Disability Law,scullydisabilitylaw.com,506 Ridge Road,Munster,Indiana,,,,https://www.linkedin.com/in/jeffreyhermanesq,https://www.linkedin.com/in/joshua-matejczyk-55138120
Gordon Arata Montgomery Barnett McCollam Duplantis & Eagan LLC,aratalawyers.com,"201 Saint Charles Avenue, 40th Floor",New Orleans,Louisiana,https://www.gamb.com/chambers-usa-ranks-eleven-gordon-arata-lawyers-in-four-practice-areas/,https://www.gamb.com/gordon-arata-attorneys-recognized-in-prestigious-chambers-usa-2023-rankings/,https://www.linkedin.com/company/gordon-arata-montgomery-barnett,,
Grubbs Law Office PC,thelegacylawfirm.com,5746 Coventry Lane,Fort Wayne,Indiana,,,,https://www.linkedin.com/in/robert-grubbs-49031613,https://www.linkedin.com/in/justin-woods-399158b
Beckman Lawson LLP,beckmanlawson.com,201 W. Wayne St.,Fort Wayne,Indiana,https://www.beckmanlawson.com/attorney/matt-elliott/,https://www.beckmanlawson.com/service/collections/,https://www.linkedin.com/company/beckman-lawson,,
Adolf Law Office,adolflawoffice.com,4656 W Jefferson Blvd STE 150,Fort Wayne,Indiana,,,,https://www.linkedin.com/in/adolph-r-guerra-jr-3132799,https://www.linkedin.com/in/adolfo-mendez-8422b24
